subject,age,gender,block,value_option0,value_option1,uncertainty,trial,reward,RT,choice,forced,mask,horizon
1001.0,26,0,12,28,40,-1,7,41,0.150337,0,0,0,6
1001.0,26,0,12,28,40,-1,8,43,0.550194,1,0,0,6
1001.0,26,0,12,28,40,-1,9,48,0.217728,1,0,0,6
1001.0,26,0,13,28,40,0,0,31,-99.0,1,1,1,1
1001.0,26,0,13,28,40,0,1,47,-99.0,1,1,1,1
1001.0,26,0,13,28,40,0,2,19,-99.0,0,1,1,1
1001.0,26,0,13,28,40,0,3,29,-99.0,0,1,1,1
1001.0,26,0,13,28,40,0,4,46,0.533766,1,0,0,1
1001.0,26,0,14,36,40,1,0,44,-99.0,1,1,1,6
1001.0,26,0,14,36,40,1,1,36,-99.0,0,1,1,6
1001.0,26,0,14,36,40,1,2,38,-99.0,1,1,1,6
1001.0,26,0,14,36,40,1,3,35,-99.0,1,1,1,6
1001.0,26,0,14,36,40,1,4,26,0.46679,0,0,0,6
1001.0,26,0,14,36,40,1,5,40,0.283712,1,0,0,6
1001.0,26,0,14,36,40,1,6,47,0.216844,1,0,0,6
1001.0,26,0,14,36,40,1,7,39,0.250625,1,0,0,6
1001.0,26,0,14,36,40,1,8,40,0.366919,1,0,0,6
1001.0,26,0,14,36,40,1,9,44,1.169111,1,0,0,6
1001.0,26,0,15,60,48,1,0,62,-99.0,1,1,1,6
1001.0,26,0,15,60,48,1,1,50,-99.0,1,1,1,6
1001.0,26,0,15,60,48,1,2,36,-99.0,1,1,1,6
1001.0,26,0,15,60,48,1,3,57,-99.0,0,1,1,6
1001.0,26,0,15,60,48,1,4,38,0.300455,1,0,0,6
1001.0,26,0,15,60,48,1,5,66,0.233465,0,0,0,6
1001.0,26,0,15,60,48,1,6,61,0.016689,0,0,0,6
1001.0,26,0,15,60,48,1,7,50,0.217189,0,0,0,6
1001.0,26,0,15,60,48,1,8,54,0.033574,0,0,0,6
1001.0,26,0,15,60,48,1,9,56,0.0841,0,0,0,6
1001.0,26,0,16,36,40,0,0,43,-99.0,0,1,1,6
1001.0,26,0,16,36,40,0,1,30,-99.0,0,1,1,6
1001.0,26,0,16,36,40,0,2,32,-99.0,1,1,1,6
1001.0,26,0,16,36,40,0,3,38,-99.0,1,1,1,6
1001.0,26,0,16,36,40,0,4,46,0.400438,0,0,0,6
1001.0,26,0,16,36,40,0,5,55,0.217164,1,0,0,6
1001.0,26,0,16,36,40,0,6,35,0.183928,0,0,0,6
1001.0,26,0,16,36,40,0,7,39,0.017056,1,0,0,6
1001.0,26,0,16,36,40,0,8,37,0.017206,0,0,0,6
